headline,publication_date,contents,comments
Bawku volatility is partly caused by NPP – Mahama Ayariga,"Politics of Sunday,  4 August 2024","Mahama Ayarigahas attributed part of the volatility in Bawku to the actions of the New Patriotic Party (NPP).Speaking to Accra-based Woezor Television in Bolgatanga, Ayariga expressed his concerns about the situation.He blamed the Minister of National Security, Albert Kan-Dapaah for not being able to resolve the dispute despite the promises by the government.""As the people of Bawku are grappling with insecurity, which I believe was largely created by the promises of the NPP to my people. The report that I have indicates from a very credible source that the Minister of National Security is given GH¢18 million every quarter in the name of dealing with the security problem,"" Ayariga said.He added, ""He gets a cheque of GH¢6million in the name of dealing with the Bawku problem while the people of Bawku are wallowing in poverty, are sleeping under curfew, and as a result of a situation created by their misrepresentation to my people, they sign a fat cheque of GH¢6million and take it home in the name of dealing with the problem.""","Yes, tension flares in Bawku anytime NPP comes to power. Chieftaincy disputes in the Northern and Upper East often heighten anytime NPP is in power because of the belief that the party provides cover for such certain chieftaincy gates. Take the gruesome and unfortunate murder of the Ya Naa for example. There was absolute peace until NPP surfaced"
Resist NPP’s GH¢200 and GH¢500 bribe during elections – Mahama to youth,"Politics of Sunday,  4 August 2024","The presidential candidate for the National Democratic Congress (NDC),John Dramani Mahamahas called on the youth and students of the Tempane Constituency to resist any attempts by theNew Patriotic Party(NPP) to sway their votes with monetary incentives.Speaking to the students and party supporters at the Tempane Senior High School during his national campaign tour, Mr. Mahama urged the young electorate not to let their votes be bought with sums of GH¢200 or GH¢500, warning that such inducements would only perpetuate their poverty.""Don't let NPP buy your conscience with GH¢200 or GH¢500 during elections to continue to keep you in poverty,"" Mr Mahama asserted.""If they come with the money, collect it and chop it, it is your money, but don't vote for them because NPP doesn't have anything better to offer your future,"" he said.In his speech, Mr Mahama emphasised that accepting bribes from the NPP would not lead to any substantial improvement in their lives or the country's development.Instead, he encouraged them to look beyond short-term gains and focus on the long-term benefits of voting for a party that genuinely cares about their future.The former President also took the opportunity to criticize the NPP's presidential candidate, Dr. Mahamudu Bawumia, suggesting a lack of consistency and reliability in their policies.He questioned the candidate's shift in focus from economic issues to digitalisation, implying that this change signaled a lack of concrete plans for the nation's economic recovery.""If I say the NPP has nothing to offer for the future of Ghanaians, I mean it because the very 'Mr. Economy' who was all over saying micro and macroeconomics is now running away from that to something called digitalisation,"" Mahama argued.""Is this the type of person you should trust? Let us rescue this country together through your vote for the NDC,"" he said.The Tempane Constituency event is part of Mahama's extensive efforts to engage with the electorates and garner support ahead of the upcoming elections.He further assured the people of continuing some of the projects that were started under his reign but got abandoned by the current government especially the road network in the area.","We can't maintain NPP for another 4yrs. Dr Bawumia is a joke. He is just not the right person to lead the country at this moment. When the economy was been run down Ken Ofori Atta, he was mute. Mahama is not convincing me that he is the right alternative. Both presidential candidates are giving promises when they know the country is broke so instead of hitting on how they will bring the economy back from the ICU, they are still preaching the same old campaign tunes, spending spending spending, so does it mean borrowing, borrowing, borrowing? Because there is no money to spend on their promises. To me Mahama can win if he will convince us that he is patriotic and will be very radical about putting Ghana democracy back on track because he doesn't need another 4yrs and therefore will implement what will change the country political landscape forever. Even if he doesn't change the economic hardship but be bold enough to implement things like separation of Attorney General department and Ministry of Justice, make constitutional amendments to detach the executive from the legislature, independent appointment of Auditor General, IGP etc and the security top positions, cancelled political appointment of state own enterprises by advertising positions, cancel formation of board members of all institutions, decentralised government workers salary payment from the consolidated fund so that workers get paid according to what their own outputs, cut wastage with incentives for ministers, Senior government officials, government control of official vehicles must be considered and many others. We need change, the change can be painful but it will be worth it, jailed all people causing financial loss to the state to serve as deterrant with hard labour. Unless we approach the next four years with radical change this country won't be back to its glory. We need radical changes to make Ghana great again. We need to change from top to down. Every facet of society needs change. We can't continue with the status quo. It will be painful but at the end will be worth it. Wastage and corruption is the main problem facing Ghana and we need a leader who can put his foot down. A leader who doesn't serve political party but Ghanaians!"
National security ministry takes GH¢18m to deal with Bawku conflict quarterly - Ayariga alleges,"Politics of Sunday,  4 August 2024","Mahama Ayariga, the Member of Parliament for Bawku Central, has claimed that the Ministry of Finance gives the Ministry of National Security about GH¢6million a month to handle the Bawku issue.According to Ayariga, this amounts to GH¢18million every quarter.Speaking on Woezor TV on Saturday, August 3, 2024,Mahama Ayarigastated that there is no proof of work being done in spite of the enormous amount of money allotted to the ministry.He then challenged the National security minister,Albert Kan-Dapaahto answer his accusations.""If it is not true, he should come out publicly and tell me that it is not true and I will show him the records that every quarter that this conflict has been going on, he takes 18 million Ghana cedis. This is scandalous, this is unfair, and inappropriate and the people of Bawku should know this.""The people should know that the NPP government through its national security sinister signs a cheque of 6 million Ghana cedis every month, 18 million every quarter is given to them by the Ministry of Finance in the name of solving their problems. But how have they solved that problem? The problem has not been solved,""Mahama Ayarigasaid, as reported by myjoyonline.com.According to the former Minister of Youth and Sports, John Dramani Mahama of theNational Democratic Congress(NDC) was unable to visit the town while on a tour of the area due to the unrest in the area.He claimed that the youth's destruction of posters was an expression of their rage over John Mahama's choice to avoid the area on the advice of security experts.""Even yesterday, John Dramani Mahama could not drive through the town. If you noticed, we had to bypass the town because many of the youth wanted to follow him on the tour, and he could not drive through the town with them for fear that anything could happen to anybody.""The same way my uncle had difficulties in attending the rally and so they demanded that John Dramani Mahama should come to them and yet the security situation was not promising and everybody was growing cold feet. We didn't want to trigger anything and so when we decided not to pass through the town, you noticed that yesterday, they were very bitter and posters of mine and John Mahama were being burnt. It was because of the security situation and the fact that security experts advised us not to take the risk. It is painful and it hurts.""But while all this is going on, the national security minister signs a cheque of 6 million Ghana cedis every month in the name of dealing with the Bawku security problem,"" he emphasized.KA/AE",SO IN DEED THESE AKUFO ADDO AND THE NPPs REALLY WANT TO BURRY GHANA? OHH GHANA TRY TO WAKE UP TO STAND AGAINST THESE PERILOUS TIME AND PEOPLE
I’ll complete all abandoned projects by Akufo-Addo – Mahama reiterates,"Politics of Sunday,  4 August 2024","Flagbearer of theNational Democratic Congress(NDC),John Dramani Mahama, has promised to complete all abandoned projects by the Akufo-Addo-led administration.He was worried that the Akufo-Addo-Bawumia government had abandoned several projects initiated during his administration.Addressing chiefs and queen mothers at the Bawku Naba Palace in the Upper East Region, Mr. Mahama said his new administration will complete all abandoned projects under the NPP.He mentioned the Garu hospital, which has been abandoned since 2015, and the Bolga-Bawku-Pulmakom road.Mr. Mahama also commented on the Eastern Corridor project, initiated by Prof. Mills and continued by his government, but still incomplete.He added that the Tamne irrigation project will bring 3000 hectares of land under irrigation, benefiting four districts and enabling young people to engage in dry-season gardening and all-year-round farming.“There have been many issues that have been raised by Bawku Naba, one is the government hospital. There’s a hospital we were building in Garu, which unfortunately has been abandoned, I can assure the people of Garu that when we come, we’ll continue and finish that hospital so that they can have access to modern health facilities. there are many projects that we were working on that unfortunately have stalled,” he said.""I remember I cut a sod for the start of Bolga-Bawku-Pulmakom road sometime in 2015, we expected that that road would have been completed today. As of now the contractor has left the site and the road has been abandoned. I can assure my father Bawku Naba that when we come, we’ll tackle that road and finish it.”“Prof. Mills conceptualised the idea of the Eastern Corridor project and we started it in the time of Prof. Mills. I came in and continued and did the segment between Nakpanduri and Oti Damanko. There’s another segment from Nakpanduri through to Kulungugu, that segment hasn’t been started yet, I can assure you that when we come, depending on the availability of resources, we’ll prioritise that road, we’ll complete the Eastern Corridor road so that it’ll make easier to move from here to the South.”“I also cut sod to start the Tamne irrigation project and we didn’t complete it before we left. We finished phase one; this government continued it slowly but still, it hasn’t been done. This project will bring about 3000 hectares of land under irrigation so that our young people can do dry season gardening, they can do all-year-round gardening so that they don’t go down South to look for menial jobs.""“So, when we come, we’ll continue the Tamne project because we know it’s going to benefit four districts in this area.”",I spit      on    sick    dog    prophet    mohammed
Read JB Danquah’s 1951 letter actively against Nkrumah’s push for independence,"Politics of Sunday,  4 August 2024","A 1951 letter from Joseph Boakye Danquah, a core member of the United Gold Coast Convention (UGCC), popularly known as JB Danquah, rejecting a call from Ghana’s first president, Dr. Kwame Nkrumah to demand  immediate independence from the British colonial masters, has surfaced on the internet.Coming just a day after the PresidentNana Addo Dankwa Akufo-Addodenounced Kwame Nkrumah as the only founder of Ghana, while delivering his Founders’ Day address to the country, Felix Ofosu-Kwakye, a former Deputy Minister of Information, has shared a letter that was authored by JB Danquah.Shared via his X page, the letter written on October 10, 1951, titled: ‘Nkrumah and his tricks’, and addressed to J.A Obdam ESQ in London, described Nkrumah’s call on political parties, traditional leaders and the entire citizenry to demand immediate independence from the British, as an invitation to criminal conspiracy against law and order.“That man Kwame Nkrumah, who is Leader of Government Business, has started his tricks again, this time, he, who is the Government, is inviting all the political leaders and chiefs to join him to send an ultimatum to His Majesty’s Government of the United Kingdom for ‘SELF-GOVERNMENT NOW’ and if rejected to declare Positive Action-strikes and boycott, etc,” parts of the statement read.JB Danquah also stated emphatically that the members of the UGCC met to deliberate on Nkrumah’s call and rejected it unanimously.The letter read, “There has been hectic activity all over the place and on Sunday we of the UGCC met at a great meeting and turned down his “challenge” flat, as being an invitation to criminal conspiracy against law and order.”Read the full statement here:Dear Mr. Obdam,I exceedingly regret delay in replying to your two letters. That man Kwame Nkrumah, who is Leader of Government Business, has started his tricks again, this time, he, who is the Government, is inviting all the political leaders and chiefs to join him to send an ultimatum to His Majesty’s Government of the United Kingdom for “SELF-GOVERNMENT NOW” and if rejected to declare Positive Action-strikes and boycott, etc.“There has been hectic activity all over the place and on Sunday we of the UGCC met at a great meeting and turned down his “challenge” flat, as being an invitation to criminal conspiracy against law and order.”I had to be away in Kumasi for long periods last month and I am just now clearing up a pile of work…J. B. DanquahTWI NEWSEAN/AEWatch the latest episode of Everyday People on GhanaWeb TV below:","NDC IS BOGUS OPPOSITION PARTY!!!!!Author: PanAfrican -- ——————-AGENDA 111, OFOSU KWAKYE SAID ITS A SCAM. SINAARE SAID ITS AN INSULT, MAHAMA SAID ITS NOT FEASIBLE NEITHER NECESSARY AND SEGBEFIA SAID WHAAT? IT’S THEIR IDEA. SHAMELESS NDC. NDC RULED FOR 30 YEARS AND THEY COULDN'T IMPLEMENT ANY OF THEIR IDEAS ONLY TO WAIT FOR SENSIBLE NANA AND THE DIGITAL DR BAWUMIA AND THEIR TEAM OF EXPERTS TO IMPLEMENT. NDC IS THE REASON FOR GHANA'S UNDERDEVELOPMENT."
"Nana Addo will painfully handover to me, he has no choice – John Dramani Mahama","Politics of Sunday,  4 August 2024","Flagbearer of the National Democratic Congress (NDC),John Dramani Mahama, has said PresidentNana Addo Dankwa Akufo-Addowill hand over political power to him in the coming months whether he likes it or not.John Dramani Mahama, while speaking at a mini community durbar at Widana, a suburb of Pusiga constituency of the Upper East Region, said that the president fears that he will be accountable for the crimes his government and allies have committed, hence he is doing all things possible to ensure the Vice President,Dr. Mahamudu Bawumia, succeeds him to cover his tracks.“Whether President Akufo-Addo likes it or not, he will painfully hand over to me because he will have no choice. Ghana is for all of us. One family and a few people cannot steal state resources and wish to go scot-free,” he said, according to a report on johnmahama.org.The NDC’s 2024 presidential candidate also touched on the leaked ‘AGYAPADIE’ document and indicated that Ghana is not for a family, but for the entire citizenry.“I am sure you have heard of the AGYAPADIE document. AGYAPADIE means inheritance. These people think the country is their inheritance and are bequeathing what is for all of us to themselves.“Now, they say the document is fake. Let’s assume it is fake, so how come all the things mentioned in that book are being implemented?”John Dramani Mahamareiterated his commitment to fight corruption in his government and prosecute past government officials who will be found guilty of corruption.“My commitment to fight corruption will not be limited to NPP officials alone. I will equally go after my appointees if they are also found to be corrupt,” he said.EAN/AE",The corrupt and incompetent one needs to win the election first which he won't. Gymii saa!
I believe we can break the 8 but we have a lot of work to do – NPP MP,"Politics of Sunday,  4 August 2024","Member of Parliament for Okaikwei Central,Patrick Yaw Boamah, has expressed strong optimism that the governingNew Patriotic Party(NPP) will win the general elections.The Finance Committee Chair said Vice President Dr. Mahamudu Bawumia will emerge as president after the elections.He admitted the country was facing struggles but quickly added that the government has rolled out bold solutions to address these challenges.Appearing on Frontline on Rainbow Radio 87.5FM, the lawmaker indicated that the NPP is the only party that has what it takes to improve the economy compared to the NDC.He said that although we are faced with struggles, the alternative is not an option for us.When asked if the NPP was capable of breaking the eight-year jinx, he answered in the affirmative.“I believe so, but we have a lot of work to do. The expectations are so high. I will not say we have done everything right, but given the circumstances, I believe we have done our best. I pray Ghanaians will give us another opportunity come December 7, 2024, so we will continue to serve and manage the economy.”He asserted that we “have gone through the fire” and are making significant progress following the prudent measures adopted by the government.He said that despite facing various economic challenges, including high debt levels, double-digit inflation rates, and currency volatility post-COVID-19, the government has chalked up successes in restoring the economy back on track.“We are currently under an IMF programme, and they have given us some benchmarks to meet, and by their assessment, we have been able to meet these benchmarks. Per their reviews, economic prospects remain promising. There was a projection of a growth rate of 3.1%. However, it has been reviewed at 4.5%. It means that we are making progress. I am not saying we are out of the woods yet....But we have made significant progress. There is progress. That is why we’re appealing to Ghanaians to trust us and believe in our efforts. We are facing challenges, but we are making progress. We have gone through fire, and by God’s grace, we have made progress. So we appeal to Ghanaians to trust in our competence to do better,” he told Kwabena Agyapong on Frontline on Rainbow Radio 87.5 FM.He has expressed gratitude to his constituents for their trust and voting for him as their MP.“I will use this opportunity to express my gratitude to all my constituents. I am grateful for the honour done to me. I promise I will not disappoint them or break their trust. I have a lot more to do, including creating job opportunities for them. I would love to help a lot of people more. There are a few lanes I would like to help complete. We are taking inventory of these places, and then projects will begin in August.”","The NPP will break the 8 with a united front and hard work. The people know Dr. Bawumia is a hard worker, but they must also understand that the NPP as a political party will work hard for them. The question is will the NPP work hard or be found hardly working? Which will it be?"
Show Ghanaians where your national theatre is - Kokofu tells Mahama,"Politics of Sunday,  4 August 2024","Former Member of Parliament for Bantama, Dr. Henry Kwabena Kokofu, has challenged the Flagbearer of theNational Democratic Congress(NDC),John Dramani Mahama, to tell Ghanaians where he's built the national theatre he promised.According to Dr. Kokofu, John Mahama promised on August 6, 2013, to build a second national theatre in Kumasi in the Ashanti Region.Speaking on Peace FM, Dr. Kokofu, who is also a former Executive Director of the Environmental Protection Agency, urged Ghanaians, especially the people of the Ashanti Region, to be cautious of John Mahama as he makes significant promises ahead of the December 7 general elections.""The information minister, Fati Abubakar, in a video, listed projects undertaken by the Akufo-Addo government since assuming power in 2017. The video also highlighted projects that the Mahama administration failed to complete after promising them to Ghanaians. One promise that stood out to me was ex-President Mahama's commitment made on August 6, 2013, to build a second national theater in Kumasi. I am from Kumasi, and I have not seen Mahama's national theater there.""So, today, if he's going around making big promises, including pledging to build a second national theatre in Kumasi if he becomes president, it reminds me of his previous statement that Ghanaians have short memories. But even if we were suffering from short memory, we’ve been reminded by President Akufo-Addo’s government. We know Mahama; he is the same person we’ve known. Nothing has changed about him. Ghanaians will not fall for his big promises that he fails to honour. He once said that during election periods, you tell both the truth and lies to win votes. In this year’s election, we demand that only the truth be spoken during the campaign."" Dr. Kokofu stated.Watch him speak in the video below:KA/AE",He even cut the sod in Accra to built a suppose millennium city or what with fan fare but till date nothing happened
"Bono NDC Youth Wing intensifies electioneering, propagates 24-hour economy","Politics of Sunday,  4 August 2024","The Bono Regional Youth Wing of the National Democratic Congress (NDC) has intensified the electioneering, propagating the economic policies of the party to the voter population, particularly first-time voters at the grassroots.Mr Richard Nkwanayana, a member of the Media and Outreach of the Youth Wing, said it was imperative for the party to reach out to and sensitize the electorate to understand the policies of the NDC to make informed decisions on December 7.In an interview with the Ghana News Agency (GNA) in Sunyani on Friday, Mr Nkwanayana said the wing was reaching out to market women and traders in general as well as ‘ghetto boys” to sensitize them on the ideologies and philosophies of the NDC.Describing the party’s 24-hour economy as a realistic intervention, he said it was imperative for the party to explain the policy to the electorate for better understanding to clearly decide and vote for the NDC.Besides the 24-hour economy, Mr Nkwanayana said the electorate also ought to understand the NDC’s proposed National Apprenticeship Programme (NAP) and the National Women’s Bank (NWB) policies.The implementation of the NAP and the NWB would provide employable skills training to young people and provide interest-free loans to market women and traders to establish or expand their economic activities, respectively.Mr Nkwanayana expressed concern over the growing graduate and youth unemployment, economic hardship as well as increase in prices of basic food items and other commodities in the country, which had worsened the economic burdens of the populace.He said the signs were clear that Ghanaians were dissatisfied and had lost faith in the President Nana Addo Dankwa Akufo-Addo-led Government, hence the NDC ought to propagate its intentions and economic policies to the masses to give them hope.“That is why the media and outreach unit of the Youth Wing has taken the responsibility to reach out to all the 12 constituencies to interact with and propagate the ideals and economic policies of the NDC to the voter population”, Mr Nkwanayana stated.“We have intensified the electioneering and seriously reaching out to all marketplaces, ghettos, and all corners of the constituencies of our region to make the masses understand the sound economic policies and social interventions of the next NDC government under former President John Dramani Mahama.”Mr Nkwanayana advised the electorate not to vote blindly when they go to the polls on December 7 and be guided by the economic conditions they faced and vote for the NDC to win and alleviate their plight.","We DESIGN and BUILD QUALITY Websites such as:- Business / cooperate websites- eCommerce/Online store Websites- Education/NGO/Church Websites- News/Blog/Media WebsitesPRICE: 1,500gh. Call/WhatsApp. 0501796870 for more info.    Vffrrdff"
Anthony Namoo justifies why Bawumia must be Ghana’s President,"Politics of Sunday,  4 August 2024","Private legal practitioner and Upper East Regional Chairman of the governingNew Patriotic Party(NPP), Lawyer Anthony Namoo, has argued that given that the presidential candidates of the two dominant political parties in this year’s election are both from Northern Ghana, it would be wise to choose the candidate who has the potential of serving for a longer time.Mr. Namoo noted that between Dr. Mahamudu Bawumia of theNew Patriotic Party(NPP) and John Mahama of theNational Democratic Congress(NDC), Dr. Bawumia, who is more competent, is constitutionally allowed to serve two terms, whereas John Mahama can serve only one four-year term.“If the trophy [of the Presidency] is coming to the North, you have to give it to somebody who will be there for a long time,” Mr. Namoo said in an interview with A1 Radio earlier this week.He stressed that despite enormous challenges to the party’s progress in the region, the NPP is making major ‘incursions’ and would have an improved performance in this year’s General Elections.","We DESIGN and BUILD QUALITY Websites such as:- Business / cooperate websites- eCommerce/Online store Websites- Education/NGO/Church Websites- News/Blog/Media WebsitesPRICE: 1,500gh. Call/WhatsApp. 0501796870 for more info.    Gtfrdd"
